Ventas;Marca;Genero;Categoria;Venta;Tienda
1;RS PERFORMANCE;MUJER;ZAPATO;695;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;MUJER;ZAPATO;695;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;695;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;MUJER;ZAPATO;695;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;700;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;Time Out Multiplaza
1;RS PERFORMANCE;HOMBRE;ZAPATO;790;Time out mall premier
1;RS PERFORMANCE;MUJER;ZAPATO;800;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;750;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;750;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;MUJER;ZAPATO;990;TimeOut Metromall
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;TimeOut Metromall
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;TimeOut Metromall
1;RS PERFORMANCE;HOMBRE;ZAPATO;695;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;695;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;710;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;710;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;705;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;705;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;MUJER;ZAPATO;990;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;695;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;MUJER;ZAPATO;695;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TimeOut Cascadas
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;705;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;705;TIMEOUT MEGAMALL SPS
