Alterno;Nombre;Ventas;Marca;Talla;Genero;Categoria;Venta;Tienda;Fecha de Venta;Nombre Comercial
A17YV;T. EDGEMONT MOC TOE SIL BROW A17YV # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;1,912.00;Timberland Multiplaza;4/7/2019;EDGEMONT OXFORD
A1KJI;T. KENDRICK CHELSEA  BROW A1KJI # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;3,490.00;Timberland Multiplaza;4/7/2019;KENDRICK
A22NH;T. BRADST PT OX DK BRN A22NH # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,511.00;Time Out Multiplaza;4/7/2019;BACKSTREET OXFORD
15631;T. WMNS CHOCORUA TRAIL BRN/DARK BROW 15631 #6.5;1;TIMBERLAND;6.5;MUJER;ZAPATO;3,000.00;TimeOut Metromall;4/7/2019;CHOCORUA
18128;T. FLUME MID DK BROMW 18128 #7 ;1;TIMBERLAND;7;HOMBRE;ZAPATO;3,150.00;Timberland CITY MALL;4/7/2019;CHOCORUA
A1QDR;Z.T LAFAYETTE PARK BRW/PRPL A1QDR  # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,590.00;Timberland CITY MALL;4/7/2019;LAFAYETTE
15551;"T.EK 6"" BROWN BURNISHED 15551 #8.5";1;TIMBERLAND;8.5;HOMBRE;ZAPATO;3,990.00;Timberland CITY MALL;5/7/2019;EARTHKEEPERS
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;3,390.00;Time Out Citymall SPS;5/7/2019;MADDSEN
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,950.00;Time Out Citymall SPS;5/7/2019;MADDSEN
A14F4;T. EDGEMONT OXFORD BROW A14F4 # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,032.00;Time Out Citymall SPS;5/7/2019;EDGEMONT OXFORD
9540A;T. MT MADDEN LOW BROW 9540A # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,400.00;Time Out Citymall SPS;5/7/2019;MADDSEN
15631;T. WMNS CHOCORUA TRAIL BRN/DARK BROW 15631 #5.5;1;TIMBERLAND;5.5;MUJER;ZAPATO;2,872.00;Shoes Cascadas;5/7/2019;CHOCORUA
A1QC0;Z.T SAWYER LANE WR BRW A1QC0 # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;2,990.00;Shoes Cascadas;5/7/2019;SAWYER LANE
12135;T.WHITE LEDGE BROWN 12135 #7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,412.00;TimeOut Choluteca;5/7/2019;CHOCORUA
18128;T. FLUME MID DK BROMW 18128 #9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;3,175.00;TimeOut La Ceiba;5/7/2019;CHOCORUA
A1R16;Z.T GRAYDON LEATHER BRW A1R16 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,690.00;Timberland Multiplaza;5/7/2019;GRAYDON
18128;T. FLUME MID DK BROMW 18128 #11;1;TIMBERLAND;11;HOMBRE;ZAPATO;3,150.00;Timberland Multiplaza;5/7/2019;CHOCORUA
15550;T.EARTHKEEPER DK BROWN 15550#10;1;TIMBERLAND;10;HOMBRE;ZAPATO;3,990.00;Timberland Multiplaza;5/7/2019;EARTHKEEPERS
A1JZU;T. KENDRICK CHUKKA POTTING SOIL BROWN A1JZU # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;3,290.00;Timberland Multiplaza;5/7/2019;KENDRICK
TB010001;T.MENS 6IN PREM  DK BRW TB010001 # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;4,100.00;TimeOut Metromall;5/7/2019;CLASICOS
A14F4;T. EDGEMONT OXFORD BROW A14F4 # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,190.00;Time Out Multiplaza;6/7/2019;EDGEMONT OXFORD
12135;T.WHITE LEDGE BROWN 12135 #8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,691.00;TIME OUT CITYMALL TEG;6/7/2019;CHOCORUA
A1PA2;Z.T. CHILMARK 6  BOOT DARK EARTH/BWN A1PA2 # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;3,735.00;Time Out Citymall SPS;6/7/2019;CHILMARK 6  BOOT
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;3,100.00;Time Out Citymall SPS;6/7/2019;MADDSEN
A11MO;T. KEELE RIDGE BROW A11MO # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,390.00;Time Out Citymall SPS;6/7/2019;KEELE RIDGE
A14F4;T. EDGEMONT OXFORD BROW A14F4 # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;2,415.00;TimeOut La Ceiba;6/7/2019;EDGEMONT OXFORD
A1N2T;T. KENDRICK CHUKKA TAN BROW A1N2T # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;3,590.00;Shoes Cascadas;6/7/2019;KENDRICK
A1OJD;T. LARCHMONT WP CHUKKA GAUCHO BROW A1OJD # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,790.00;Timberland CITY MALL;6/7/2019;LARCHMONT 
5422A;T. EKBRADST PTC DARK BROWN OILED 5422A #7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,990.00;Timberland CITY MALL;6/7/2019;BRADSTREET
A1N2T;T. KENDRICK CHUKKA TAN BROW A1N2T # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;3,315.00;TimeOut Choluteca;6/7/2019;KENDRICK
A1QD4;Z.T SAWYER LANE WP BREW A1QD4 # 7;1;TIMBERLAND;7;HOMBRE;ZAPATO;2,790.00;Timberland Multiplaza;6/7/2019;SAWYER LANE
6905B;T. TRAIL WIND BROW 6905B # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,815.00;TimeOut Choluteca;6/7/2019;TRAIL WIND
A11MO;T. KEELE RIDGE BROW A11MO # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,615.00;TimeOut Choluteca;6/7/2019;KEELE RIDGE
A163L;Z.T. KEELERDG WPLTR BROWN FULL A163L # 9;1;TIMBERLAND;9;MUJER;ZAPATO;2,790.00;Timberland Multiplaza;6/7/2019;KEELE RIDGE
TB010001;T.MENS 6IN PREM  DK BRW TB010001 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;3,672.00;Timberland Multiplaza;6/7/2019;CLASICOS
72066;T.6 IN PREM 72066 RUST ORG #10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;3,672.00;Timberland Multiplaza;6/7/2019;6IN JR PREMIUM
A1PDS;T.BRACDSTREET BROW A1PDS  # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;6/7/2019;BRADSTREET
A11MO;T. KEELE RIDGE BROW A11MO # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,590.00;Timberland Multiplaza;6/7/2019;KEELE RIDGE
A22PD;T. BRADST PT CHKA DK BRN A22PD # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,790.00;Timberland Multiplaza;6/7/2019;BACKSTREET OXFORD
A1IQH;T.STORMBUCK LITE PLAIN WOOD THRU BROW A1IQH # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,890.00;Timberland Multiplaza;6/7/2019;STORMBUCK
A1IQH;T.STORMBUCK LITE PLAIN WOOD THRU BROW A1IQH # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,600.00;TimeOut Metromall;7/7/2019;STORMBUCK
15551;"T.EK 6"" BROWN BURNISHED 15551 #9";1;TIMBERLAND;9;HOMBRE;ZAPATO;3,647.00;TimeOut Metromall;7/7/2019;EARTHKEEPERS
12668;T. WHITE LEADGE BROWN 12668 # 6.5;1;TIMBERLAND;6.5;MUJER;ZAPATO;2,800.00;TIMEOUT MEGAMALL SPS;7/7/2019;CHOCORUA
A22PD;T. BRADST PT CHKA DK BRN A22PD # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,542.00;Time Out Citymall SPS;7/7/2019;BACKSTREET OXFORD
A22NH;T. BRADST PT OX DK BRN A22NH # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,600.00;Time Out Citymall SPS;7/7/2019;BACKSTREET OXFORD
12668;T. WHITE LEADGE BROWN 12668 # 7;1;TIMBERLAND;7;MUJER;ZAPATO;2,650.00;Time Out Citymall SPS;7/7/2019;CHOCORUA
A1JZU;T. KENDRICK CHUKKA POTTING SOIL BROWN A1JZU # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;3,590.00;Shoes Cascadas;7/7/2019;KENDRICK
A1PDS;T.BRACDSTREET BROW A1PDS  # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;7/7/2019;BRADSTREET
A1JZU;T. KENDRICK CHUKKA POTTING SOIL BROWN A1JZU # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;3,590.00;Timberland Multiplaza;7/7/2019;KENDRICK
A1U4H;T. SQUALL CANYON PT OXF COPPER BRW A1U4H # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,881.50;Timberland Multiplaza;7/7/2019;SQUALL CANYON 
12135;T.WHITE LEDGE BROWN 12135 #10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,790.00;Timberland Multiplaza;7/7/2019;CHOCORUA
A1N2T;T. KENDRICK CHUKKA TAN BROW A1N2T # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;3,590.00;Time Out Multiplaza;7/7/2019;KENDRICK
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,882.00;TimeOut Metromall;8/7/2019;MADDSEN
A11MO;T. KEELE RIDGE BROW A11MO # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,390.00;Timberland CITY MALL;8/7/2019;KEELE RIDGE
5422A;T. EKBRADST PTC DARK BROWN OILED 5422A #8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,790.00;Timberland CITY MALL;8/7/2019;BRADSTREET
A1QCT;Z.T SAWYQER LANE WP BRW A1QCT # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,790.00;Timberland CITY MALL;8/7/2019;SAWYER LANE
12668;T. WHITE LEADGE BROWN 12668 # 5.5;1;TIMBERLAND;5.5;MUJER;ZAPATO;2,507.50;Shoes Cascadas;8/7/2019;CHOCORUA
