Alterno;Nombre;Ventas;Marca;Talla;Genero;Categoria;Venta;Tienda;Fecha de Venta;Nombre Comercial
A21G3;T. BROOKLYN FABRIC OX DK GRN A21G3 # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,511.00;Timberland Multiplaza;11/7/2019;BROOKLYN
10073;T. 6IN PREM BT BLACK 10073 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;4,131.00;Timberland Multiplaza;11/7/2019;BOOTS IN BLACK
A1JYV ;Z.T BRADSTREET PT OXFORD GREY A1JYV # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;1,990.00;Timberland Multiplaza;11/7/2019;BRADSTREET
A1ODQ;Z.T. KILLINGTON HIKER CHU GRAPE/GREEN A1ODQ # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;11/7/2019;KILINGTON
A1N1K;T. KENDRICK CHELSEA BROW A1N1K # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;3,390.00;Timberland Multiplaza;11/7/2019;KENDRICK
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 6;1;NIKE;6;MUJER;ZAPATO;1,990.00;Time Out Multiplaza;11/7/2019;TANJUN
AR0642-001;T. WMNS AIR FORCE 1 '07 GRY/MTLC AR0642-001 # 6;1;NIKE;6;MUJER;ZAPATO;2,990.00;Time Out Multiplaza;11/7/2019;AIR FORCE 1
192337 01 ;T.P FLOURISH WMNS BLACK 192337 01 # 6.5;1;PUMA;6.5;MUJER;ZAPATO;1,990.00;Time Out Multiplaza;11/7/2019;FLOURISH
BQ9443-001;T. NIKE FLEX TRAINER 9 BLK/WHT BQ9443-001 # 7.5;1;NIKE;7.5;MUJER;ZAPATO;2,590.00;Time Out Multiplaza;11/7/2019;FLEX TRAINER
015831 WINE;T. RS DEFY 2.0 WINE 015831 # 11;1;RS PERFORMANCE;11;HOMBRE;ZAPATO;990.00;Time Out Multiplaza;11/7/2019;DEFY
192443 04;T.P ENZO BETA WNMS  BLACK 192443 04 # 6.5;1;PUMA;6.5;MUJER;ZAPATO;1,990.00;Time Out Multiplaza;11/7/2019;ENZO
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 9.5;1;NIKE;9.5;MUJER;ZAPATO;1,990.00;Time Out Multiplaza;11/7/2019;TANJUN
191492 03;T.P TISHATSU RUNNER GREEN 191492 03 # 9;1;PUMA;9;HOMBRE;ZAPATO;1,190.00;Time Out Multiplaza;11/7/2019;TISHATSU
AT1239-003;T. NIKE VARSITY COMPETE BLK/WHT AT1239-003 # 9;1;NIKE;9;HOMBRE;ZAPATO;2,590.00;Time Out Multiplaza;11/7/2019;VARSITY
343880-016;S. BENASSI JDI BLACK/MTLC GOLD 343880-016 # 10;1;NIKE;10;HOMBRE;SANDALIAS;990.00;Time Out Multiplaza;11/7/2019;BENASSI
343880 090;SANDALIA NIKE BLK/WHT 343880 090 #11;1;NIKE;11;HOMBRE;SANDALIAS;990.00;Time Out Multiplaza;11/7/2019;BENASSI
BQ9268-100;T. NIKE FLEX EXPERIENCE WHT/BLK BQ9268-100 # 9;1;NIKE;9;HOMBRE;ZAPATO;2,390.00;TimeOut Metromall;11/7/2019;FLEX EXPERIENCE
631635 010;T.N PRIMO COURT CANVAS BLK 631635 010 # 7;1;NIKE;7;MUJER;ZAPATO;1,990.00;TimeOut Metromall;11/7/2019;PRIMO COURT
AQ7481-002;T. NIKE DOWNSHIFTER 9 BLK/ANTH AQ7481-002 # 8;1;NIKE;8;HOMBRE;ZAPATO;2,190.00;TimeOut Metromall;11/7/2019;DOWNSHIFTER
016101 NVY;T. RS INTENSE NVY/BLK 016101 # 9;1;RS PERFORMANCE;9;HOMBRE;ZAPATO;990.00;TimeOut Metromall;11/7/2019;INTENSE
AJ5911-400;T.NIKE FLEX CONTROL TR3 NVY/MTLC AJ5911-400 # 10.5;1;NIKE;10.5;HOMBRE;ZAPATO;2,190.00;Time out mall premier;11/7/2019;FLEX CONTROL
367385 09;T.P INSURGE MESH PURPLE 367385 09 # 7.5;1;PUMA;7.5;MUJER;ZAPATO;1,790.00;Time out mall premier;11/7/2019;INSURGE
016101 BLK;T. RS INTENSE BLK 016101 # 9;1;RS PERFORMANCE;9;HOMBRE;ZAPATO;925.00;Time out mall premier;11/7/2019;INTENSE
343880 100;SANDA NIKE BENASSI BLK/WHT 343880 100 # 10;1;NIKE;10;HOMBRE;SANDALIAS;990.00;Time out mall premier;11/7/2019;BENASSI
A1RGX;T. SPLITROCK 2 BLACK A1RGX # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;1,645.00;Time out mall premier;11/7/2019;SIDE-ZIP
843895 001;T.N SB CHECK SOLAR BLCK 843895 001 # 9.5;1;NIKE;9.5;HOMBRE;ZAPATO;1,990.00;Time out mall premier;11/7/2019;SB CHECK
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 7;1;NIKE;7;MUJER;ZAPATO;1,990.00;Time out mall premier;11/7/2019;TANJUN
BQ9443-001;T. NIKE FLEX TRAINER 9 BLK/WHT BQ9443-001 # 8;1;NIKE;8;MUJER;ZAPATO;2,390.00;Time out mall premier;11/7/2019;FLEX TRAINER
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 8;1;NIKE;8;MUJER;ZAPATO;1,990.00;Time out mall premier;11/7/2019;TANJUN
AJ8879-002;T.N HAKATA BLK/GRY AJ8879 002 # 9;1;NIKE;9;HOMBRE;ZAPATO;2,190.00;Time out mall premier;11/7/2019;HAKATA
BQ9443-001;T. NIKE FLEX TRAINER 9 BLK/WHT BQ9443-001 # 7.5;1;NIKE;7.5;MUJER;ZAPATO;2,390.00;Time out mall premier;11/7/2019;FLEX TRAINER
AT1239-003;T. NIKE VARSITY COMPETE BLK/WHT AT1239-003 # 9.5;1;NIKE;9.5;HOMBRE;ZAPATO;2,300.00;Time Out Citymall SPS;11/7/2019;VARSITY
AR5339-001;N.W. AF1 SAGE LCE XX NGHT/PHNTM AR5339-001 # 8.5;1;NIKE;8.5;MUJER;ZAPATO;3,100.00;Time Out Citymall SPS;11/7/2019;AIR FORCE 1
AJ5908-003;T. NIKE FLEX EXPERIENCE 8 PLT/PNK AJ5908-003 # 7.5;1;NIKE;7.5;MUJER;ZAPATO;2,240.00;Time Out Citymall SPS;11/7/2019;FLEX EXPERIENCE
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 6;1;NIKE;6;MUJER;ZAPATO;1,990.00;Time Out Citymall SPS;11/7/2019;TANJUN
812654 001;T.N TANJUN BLK 812654 001 # 8;1;NIKE;8;HOMBRE;ZAPATO;1,990.00;Time Out Citymall SPS;11/7/2019;TANJUN
191487 01;T.P ENZO WEAVE BLACK 191487 01 # 9.5;1;PUMA;9.5;HOMBRE;ZAPATO;2,000.00;Time Out Citymall SPS;11/7/2019;ENZO
306387 02;T.P BMW MMS WHITE/GREY 306387 02 # 7;1;PUMA;7;HOMBRE;ZAPATO;1,590.00;Time Out Citymall SPS;11/7/2019;EVO CAT
812654 001;T.N TANJUN BLK 812654 001 # 12;1;NIKE;12;HOMBRE;ZAPATO;1,990.00;Time Out Citymall SPS;11/7/2019;TANJUN
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 8.5;1;NIKE;8.5;MUJER;ZAPATO;1,990.00;Time Out Citymall SPS;11/7/2019;TANJUN
016101 NVY;T. RS INTENSE NVY/BLK 016101 # 8;1;RS PERFORMANCE;8;HOMBRE;ZAPATO;890.00;TIMEOUT MEGAMALL SPS;11/7/2019;INTENSE
017011 RED;T. RS PERFORM RED/BLK 017011 # 10;1;RS PERFORMANCE;10;HOMBRE;ZAPATO;800.00;TIMEOUT MEGAMALL SPS;11/7/2019;PERFORMANCE
AJ5911-400;T.NIKE FLEX CONTROL TR3 NVY/MTLC AJ5911-400 # 10.5;1;NIKE;10.5;HOMBRE;ZAPATO;2,140.00;TIMEOUT MEGAMALL SPS;11/7/2019;FLEX CONTROL
360248 03;SANDALIA BLACK WHITE 360248 03 # 10;1;PUMA;10;HOMBRE;SANDALIAS;650.00;TIMEOUT MEGAMALL SPS;11/7/2019;SANDALIA EPIC FLIP
AJ5903-003;T. NIKE RENEW ARENA  GRY/BRT AJ5903-003 # 11;1;NIKE;11;HOMBRE;ZAPATO;2,300.00;TIMEOUT MEGAMALL SPS;11/7/2019;RENEW ARENA
192442 01;T.P ENZO BETA BLACK 192442 01 # 11;1;PUMA;11;HOMBRE;ZAPATO;1,790.00;TIMEOUT MEGAMALL SPS;11/7/2019;ENZO
A1W1Z;T. FLYROAM TRAIL LOW NVY A1W1Z # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,796.50;Timberland CITY MALL;11/7/2019;FLYROAM
A1NZR;T. FLYROAM TRAIL LOW BLACK A1NZR # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,796.50;Timberland CITY MALL;11/7/2019;FLYROAM
016101 GREY;T. RS INTENSE DK.GREY/BLK 016101 # 9;1;RS PERFORMANCE;9;HOMBRE;ZAPATO;1,015.00;TimeOut Choluteca;11/7/2019;INTENSE
366121 01;S.P PLTFORM SLIDE WNS WHITE 366121 01 # 6.5;1;PUMA;6.5;MUJER;SANDALIAS;1,125.00;TimeOut Choluteca;11/7/2019;SANDALIA PLATFORM SLIDE
306242 04;T.P BMW MMS FUTURE CAT ULTRA 306242 04 # 9;1;PUMA;9;HOMBRE;ZAPATO;2,215.00;TimeOut Choluteca;11/7/2019;FUTURE CAT
812654 001;T.N TANJUN BLK 812654 001 # 10;1;NIKE;10;HOMBRE;ZAPATO;1,990.00;TimeOut Choluteca;11/7/2019;TANJUN
A1ND7;T. KENDRICK CAP TOE OXF BLACK A1ND7 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;3,015.00;TimeOut Choluteca;11/7/2019;KENDRICK
AH9395-002;T. NIKE FREE TR V8 BLK/WHT AH9395-002 # 8.5;1;NIKE;8.5;HOMBRE;ZAPATO;2,990.00;TIME OUT CITYMALL TEG;11/7/2019;FREE TR
190508 05;T.P IGNITE FLASH EVO KENIT BLK 190508 05 # 7;1;PUMA;7;HOMBRE;ZAPATO;1,590.00;TIME OUT CITYMALL TEG;11/7/2019;IGNITE
361137 01;T.P DRIFT CAT 5 BLACK 361137 01 # 8.5;1;PUMA;8.5;HOMBRE;ZAPATO;1,790.00;TIME OUT CITYMALL TEG;11/7/2019;DRIFT
812654 001;T.N TANJUN BLK 812654 001 # 9;1;NIKE;9;HOMBRE;ZAPATO;2,190.00;TIME OUT CITYMALL TEG;11/7/2019;TANJUN
190508 20;T.P IGNITE FLASH BLACK 190508 20 # 11;1;PUMA;11;HOMBRE;ZAPATO;1,990.00;TIME OUT CITYMALL TEG;11/7/2019;IGNITE
AO0266-005;T. NIKE AIR MAX MOTION 2 BLK/RED AO0266-005 # 10;1;NIKE;10;HOMBRE;ZAPATO;2,990.00;TIME OUT CITYMALL TEG;11/7/2019;AIR MAX MOTION
367282 01;SANDALIA PUMA LEADCAT BLACK 367282 01 # 6.5;1;PUMA;6.5;MUJER;SANDALIAS;750.00;TIME OUT CITYMALL TEG;11/7/2019;SANDALIA LEADCAT
016101 NVY;T. RS INTENSE NVY/BLK 016101 # 8;1;RS PERFORMANCE;8;HOMBRE;ZAPATO;890.00;TIME OUT CITYMALL TEG;11/7/2019;INTENSE
016101 BLK;T. RS INTENSE BLK 016101 # 8;1;RS PERFORMANCE;8;HOMBRE;ZAPATO;890.00;TIME OUT CITYMALL TEG;11/7/2019;INTENSE
192443 04;T.P ENZO BETA WNMS  BLACK 192443 04 # 5.5;1;PUMA;5.5;MUJER;ZAPATO;1,790.00;TIME OUT CITYMALL TEG;11/7/2019;ENZO
A1N1K;T. KENDRICK CHELSEA BROW A1N1K # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;3,390.00;TIME OUT CITYMALL TEG;11/7/2019;KENDRICK
AJ5908-003;T. NIKE FLEX EXPERIENCE 8 PLT/PNK AJ5908-003 # 5.5;1;NIKE;5.5;MUJER;ZAPATO;2,190.00;TIME OUT CITYMALL TEG;11/7/2019;FLEX EXPERIENCE
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 8.5;1;NIKE;8.5;MUJER;ZAPATO;1,990.00;TimeOut Cascadas;11/7/2019;TANJUN
BQ3201-101;T. NIKE TODOS WHT/BLK BQ3201-101 # 7;1;NIKE;7;MUJER;ZAPATO;1,790.00;TimeOut Cascadas;11/7/2019;TODOS
812654 001;T.N TANJUN BLK 812654 001 # 9.5;1;NIKE;9.5;HOMBRE;ZAPATO;1,990.00;TimeOut Cascadas;11/7/2019;TANJUN
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 7;1;NIKE;7;MUJER;ZAPATO;1,990.00;TimeOut Cascadas;11/7/2019;TANJUN
AO0265-001;T.N. MD RUNNER 19 BLK/ANTHRCT AO0265-001 # 10.5;1;NIKE;10.5;HOMBRE;ZAPATO;2,190.00;TimeOut Cascadas;11/7/2019;MD RUNNER
BQ3198-100;T. NIKE TODOS WHT/BLK BQ3198-100 # 10.5;1;NIKE;10.5;HOMBRE;ZAPATO;1,790.00;TimeOut Cascadas;11/7/2019;TODOS
831971-801;T.N. MERCURIAL VORTEX III RNG/BLK 831971-801 #7.5;1;NIKE;7.5;HOMBRE;ZAPATO;1,250.00;TimeOut Cascadas;11/7/2019;MERCURIAL VORTEX
191068 01;T.P NRGY BLCK WH 191068 01 # 9.5;1;PUMA;9.5;HOMBRE;ZAPATO;1,590.00;TimeOut Cascadas;11/7/2019;MEGA NRGY
015832 NVY;T. RS DEFY 2.5 NVY/FUCHSIA 015832 # 7;1;RS PERFORMANCE;7;MUJER;ZAPATO;890.00;TimeOut Cascadas;11/7/2019;DEFY
369400 02;S.P DIVECAT V2 WHITE # 8;1;PUMA;8;HOMBRE;SANDALIAS;650.00;TimeOut Cascadas;11/7/2019;SANDALIA DEVICAT
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 6.5;1;NIKE;6.5;MUJER;ZAPATO;1,990.00;Tienda Movil;11/7/2019;TANJUN
908988-002;T. NIKE REVOLUTION 4 BLK/BLK 908988-002 # 9.5;1;NIKE;9.5;HOMBRE;ZAPATO;2,015.00;TimeOut La Ceiba;12/7/2019;REVOLUTION
360248 31;SANDALIA PUMA PINK EPIC FLIP 360248 31# 6;1;PUMA;6;MUJER;SANDALIAS;665.00;TimeOut La Ceiba;12/7/2019;SANDALIA EPIC FLIP
599409-422;T. NIKE AIR MAX THEA NVY/PLT 599409-422 # 8.5;1;NIKE;8.5;MUJER;ZAPATO;2,815.00;TimeOut La Ceiba;12/7/2019;AIR MAX THEA
369402 01;SANDALIA PUMA EPIC WHT/GREY 369402 01 # 8;1;PUMA;8;MUJER;SANDALIAS;665.00;TimeOut La Ceiba;12/7/2019;SANDALIA EPIC FLIP
343880 015;S.N BENASSI BLCK/WHT  343880 015 # 11;1;NIKE;11;HOMBRE;SANDALIAS;965.00;TimeOut La Ceiba;12/7/2019;BENASSI
192442 04;T.P ENZO BETA BLACK 192442 04  # 9;1;PUMA;9;HOMBRE;ZAPATO;2,015.00;TimeOut La Ceiba;12/7/2019;ENZO 
A13HZ;Z.T LARCHMONT CHELSEA  BRW A13HZ # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,790.00;Timberland Multiplaza;12/7/2019;LARCHMONT 
10061;T. 6IN PREM BT WHEAT YELLOW 10061 # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,295.00;Timberland Multiplaza;12/7/2019;YELLOW BOOTS
10073;T. 6IN PREM BT BLACK 10073 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;4,590.00;Timberland Multiplaza;12/7/2019;BOOTS IN BLACK
A12ES;T. LARCHMONT WP CHUKKA MEDIUM A12ES # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,790.00;Timberland Multiplaza;12/7/2019;LARCHMONT 
A161U;T. KENNISTON BROW A161U # 8;1;TIMBERLAND;8;MUJER;ZAPATO;2,890.00;Timberland Multiplaza;12/7/2019;KENNISTON
843896-009;T. NIKE SB CHECK SOLAR BLK/BLK 843896-009 # 10.5;1;NIKE;10.5;HOMBRE;ZAPATO;1,990.00;Time Out Multiplaza;12/7/2019;SB CHECK
BQ3201-101;T. NIKE TODOS WHT/BLK BQ3201-101 # 6.5;1;NIKE;6.5;MUJER;ZAPATO;1,790.00;Time Out Multiplaza;12/7/2019;TODOS
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 7.5;1;NIKE;7.5;MUJER;ZAPATO;1,990.00;Time Out Multiplaza;12/7/2019;TANJUN
AH8050-022;T.N. AIR MAX 270 BLK/ANTHRCT AH8050-022 # 9.5;1;NIKE;9.5;HOMBRE;ZAPATO;4,490.00;Time Out Multiplaza;12/7/2019;AIR MAX 270
AJ8799-602;T. W NIKE ASHIN MODERN BERRY/BLK AJ8799-602 # 7.5;1;NIKE;7.5;MUJER;ZAPATO;2,390.00;Time Out Multiplaza;12/7/2019;ASHIN MODERN
812654 001;T.N TANJUN BLK 812654 001 # 8.5;1;NIKE;8.5;HOMBRE;ZAPATO;1,990.00;Time Out Multiplaza;12/7/2019;TANJUN
192355 01;T.P PERSIST XT BLACK 192355 01 # 8.5;1;PUMA;8.5;HOMBRE;ZAPATO;1,490.00;Time Out Multiplaza;12/7/2019;PERSIST
BQ3201-101;T. NIKE TODOS WHT/BLK BQ3201-101 # 8;1;NIKE;8;MUJER;ZAPATO;1,790.00;Time Out Multiplaza;12/7/2019;TODOS
343880 001;SANDALIA BENASSI JDI BLACK 343880 001 # 9;1;NIKE;9;HOMBRE;SANDALIAS;990.00;Time Out Multiplaza;12/7/2019;BENASSI
5551R;T. EK STORMBUCK BLK SMOOTH 5551R #11;1;TIMBERLAND;11;HOMBRE;ZAPATO;3,290.00;Time Out Multiplaza;12/7/2019;STORMBUCK
192337 01 ;T.P FLOURISH WMNS BLACK 192337 01 # 8.5;1;PUMA;8.5;MUJER;ZAPATO;1,790.00;Time Out Multiplaza;12/7/2019;FLOURISH
812654 011;T.N TANJUN BLACK/WHT 812654 011 # 10.5;1;NIKE;10.5;HOMBRE;ZAPATO;1,990.00;Time Out Multiplaza;12/7/2019;TANJUN
192355 05;T.P PERSIST XT BLACK 192355 05 # 8.5;1;PUMA;8.5;HOMBRE;ZAPATO;1,490.00;Time out mall premier;12/7/2019;PERSIST
631635 010;T.N PRIMO COURT CANVAS BLK 631635 010 # 7;1;NIKE;7;MUJER;ZAPATO;1,890.00;Time out mall premier;12/7/2019;PRIMO COURT
BQ3201-101;T. NIKE TODOS WHT/BLK BQ3201-101 # 5.5;1;NIKE;5.5;MUJER;ZAPATO;1,790.00;Time out mall premier;12/7/2019;TODOS
AT2506-002;T. NIKE AIR MAX FLY BLK/WHT AT2506-002 # 10.5;1;NIKE;10.5;HOMBRE;ZAPATO;2,990.00;Time out mall premier;12/7/2019;AIR MAX FLY
343881-108;S. WMNS BENASSI JDI WHT/MTLC 343881-108 # 6;1;NIKE;6;MUJER;SANDALIAS;990.00;Time out mall premier;12/7/2019;BENASSI
749794-010;T. NIKE MD RUNNER 2 BLK/WHT 749794-010 # 10;1;NIKE;10;HOMBRE;ZAPATO;1,990.00;Time out mall premier;12/7/2019;MD RUNNER
10061;T. 6IN PREM BT WHEAT YELLOW 10061 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;4,390.00;Time out mall premier;12/7/2019;YELLOW BOOTS
369401 02;SANDALIA PUMA EPIC RED/NAV 369401 02 # 8;1;PUMA;8;HOMBRE;SANDALIAS;650.00;Time out mall premier;12/7/2019;SANDALIA EPIC FLIP
369401 01;SANDALIA PUMA EPCI BLACK 369401 01 # 8;1;PUMA;8;HOMBRE;SANDALIAS;650.00;Time out mall premier;12/7/2019;SANDALIA EPIC FLIP
A1RGX;T. SPLITROCK 2 BLACK A1RGX # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;1,645.00;Time out mall premier;12/7/2019;SIDE-ZIP
A1VWC;"Z.T CITY""S EDGE WP BLCK A1VWC # 10.5";1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,990.00;Timberland CITY MALL;12/7/2019;CITY EDGE
A1XAP;S.T. FELLS SLIDE NVY A1XAP # 9;1;TIMBERLAND;9;HOMBRE;SANDALIAS;1,000.00;Timberland Multiplaza;12/7/2019;FELLS SLIDE
A1LH8;T. BRADSTREET OXFOR NAVY A1LH8 # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,390.00;Time Out Citymall SPS;12/7/2019;BRADSTREET
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 8.5;1;NIKE;8.5;MUJER;ZAPATO;1,990.00;Time Out Citymall SPS;12/7/2019;TANJUN
AR5339-002;T.N W AF1 SAGE LCE XX BLK/WHT AR5339-002 # 9;1;NIKE;9;MUJER;ZAPATO;3,250.00;Time Out Citymall SPS;12/7/2019;AIR FORCE 1
812654 001;T.N TANJUN BLK 812654 001 # 10;1;NIKE;10;HOMBRE;ZAPATO;1,990.00;Time Out Citymall SPS;12/7/2019;TANJUN
BQ3198-100;T. NIKE TODOS WHT/BLK BQ3198-100 # 9;1;NIKE;9;HOMBRE;ZAPATO;1,195.34;Time Out Citymall SPS;12/7/2019;TODOS
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 10;1;NIKE;10;MUJER;ZAPATO;1,990.00;Time Out Citymall SPS;12/7/2019;TANJUN
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 10;1;NIKE;10;MUJER;ZAPATO;1,990.00;Time Out Citymall SPS;12/7/2019;TANJUN
812654 001;T.N TANJUN BLK 812654 001 # 8;1;NIKE;8;HOMBRE;ZAPATO;1,990.00;Time Out Citymall SPS;12/7/2019;TANJUN
AT1239-003;T. NIKE VARSITY COMPETE BLK/WHT AT1239-003 # 9;1;NIKE;9;HOMBRE;ZAPATO;2,440.00;Time Out Citymall SPS;12/7/2019;VARSITY
192355 05;T.P PERSIST XT BLACK 192355 05 # 10;1;PUMA;10;HOMBRE;ZAPATO;1,490.00;Time Out Citymall SPS;12/7/2019;PERSIST
AQ0117-002;T.N AIR FORCE 1 '07 LV8 BLK/BLK AQ0117-002 # 9.5;1;NIKE;9.5;HOMBRE;ZAPATO;2,900.00;Time Out Citymall SPS;12/7/2019;AIR FORCE 1
016101 BLK;T. RS INTENSE BLK 016101 # 10;1;RS PERFORMANCE;10;HOMBRE;ZAPATO;890.00;Time Out Citymall SPS;12/7/2019;INTENSE
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 9.5;1;NIKE;9.5;MUJER;ZAPATO;1,990.00;Time Out Citymall SPS;12/7/2019;TANJUN
AT1239-003;T. NIKE VARSITY COMPETE BLK/WHT AT1239-003 # 8;1;NIKE;8;HOMBRE;ZAPATO;2,390.00;Time Out Citymall SPS;12/7/2019;VARSITY
191594 02;T.P IGNITE FLASH  DESERT BLK 191594 02 # 10.5;1;PUMA;10.5;HOMBRE;ZAPATO;2,190.00;Time Out Citymall SPS;12/7/2019;IGNITE
016101 SAND;T. RS INTENSE SAND/BLK 016101 # 8;1;RS PERFORMANCE;8;HOMBRE;ZAPATO;890.00;TimeOut Metromall;12/7/2019;INTENSE
898479-001;T. NIKE FLEX TRAINER 7 BLK/MTLC 898479-001 # 9;1;NIKE;9;MUJER;ZAPATO;2,190.00;TIMEOUT MEGAMALL SPS;12/7/2019;FLEX TRAINER
016101 BLK;T. RS INTENSE BLK 016101 # 6.5;1;RS PERFORMANCE;6.5;HOMBRE;ZAPATO;842.00;TIMEOUT MEGAMALL SPS;12/7/2019;INTENSE
807472-011;T.N CORTEZ NYLON BLCK/WHT 807472 011 # 10;1;NIKE;10;HOMBRE;ZAPATO;2,000.00;TIMEOUT MEGAMALL SPS;12/7/2019;CORTEZ
880268-006;T. NIKE SB CORE PERFORMANCE BLK 880268-006 # 8;1;NIKE;8;HOMBRE;ZAPATO;1,990.00;TIMEOUT MEGAMALL SPS;12/7/2019;SB CORE
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 10;1;NIKE;10;MUJER;ZAPATO;1,289.38;TIMEOUT MEGAMALL SPS;12/7/2019;TANJUN
360248 31;SANDALIA PUMA PINK EPIC FLIP 360248 31# 4;1;PUMA;4;MUJER;SANDALIAS;325.00;TIMEOUT MEGAMALL SPS;12/7/2019;SANDALIA EPIC FLIP
360248 31;SANDALIA PUMA PINK EPIC FLIP 360248 31# 5;1;PUMA;5;MUJER;SANDALIAS;650.00;TIMEOUT MEGAMALL SPS;12/7/2019;SANDALIA EPIC FLIP
191068 01;T.P NRGY BLCK WH 191068 01 # 9.5;1;PUMA;9.5;HOMBRE;ZAPATO;1,590.00;TIME OUT CITYMALL TEG;12/7/2019;MEGA NRGY
AH9395-002;T. NIKE FREE TR V8 BLK/WHT AH9395-002 # 9.5;1;NIKE;9.5;HOMBRE;ZAPATO;3,250.00;TIME OUT CITYMALL TEG;12/7/2019;FREE TR
BQ3198-100;T. NIKE TODOS WHT/BLK BQ3198-100 # 8;1;NIKE;8;HOMBRE;ZAPATO;1,790.00;TIME OUT CITYMALL TEG;12/7/2019;TODOS
AJ5908-003;T. NIKE FLEX EXPERIENCE 8 PLT/PNK AJ5908-003 # 6.5;1;NIKE;6.5;MUJER;ZAPATO;2,390.00;TIME OUT CITYMALL TEG;12/7/2019;FLEX EXPERIENCE
BQ3198-100;T. NIKE TODOS WHT/BLK BQ3198-100 # 7;1;NIKE;7;HOMBRE;ZAPATO;1,195.34;TIME OUT CITYMALL TEG;12/7/2019;TODOS
369402 01;SANDALIA PUMA EPIC WHT/GREY 369402 01 # 8;1;PUMA;8;MUJER;SANDALIAS;590.00;TIME OUT CITYMALL TEG;12/7/2019;SANDALIA EPIC FLIP
AJ5908-013;T.N. FLEX EXPERIENCE 8 BLK/WHT AJ5908-013 # 8.5;1;NIKE;8.5;MUJER;ZAPATO;2,390.00;TIME OUT CITYMALL TEG;12/7/2019;FLEX EXPERIENCE
AT1239-004;T. NIKE VARSITY COMPETE GRY AT1239-004 # 9;1;NIKE;9;HOMBRE;ZAPATO;2,590.00;TIME OUT CITYMALL TEG;12/7/2019;VARSITY
367385 09;T.P INSURGE MESH PURPLE 367385 09 # 4.5;1;PUMA;4.5;MUJER;ZAPATO;1,790.00;TIME OUT CITYMALL TEG;12/7/2019;INSURGE
A12ES;T. LARCHMONT WP CHUKKA MEDIUM A12ES # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,790.00;TIME OUT CITYMALL TEG;12/7/2019;LARCHMONT 
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 8;1;NIKE;8;MUJER;ZAPATO;2,190.00;TIME OUT CITYMALL TEG;12/7/2019;TANJUN
A13HZ;Z.T LARCHMONT CHELSEA  BRW A13HZ # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,790.00;TIME OUT CITYMALL TEG;12/7/2019;LARCHMONT 
812654 001;T.N TANJUN BLK 812654 001 # 8.5;1;NIKE;8.5;HOMBRE;ZAPATO;2,190.00;TIME OUT CITYMALL TEG;12/7/2019;TANJUN
7-37CMA0073092;T.LACOSTE BAYLISS NVY/WHT 7-37CMA0073092 # 8;1;LACOSTE;8;HOMBRE;ZAPATO;2,590.00;TIME OUT CITYMALL TEG;12/7/2019;BAYLISS
191068 07;T.P NRGY NEKO BLCK RD 191068 07 # 8.5;1;PUMA;8.5;HOMBRE;ZAPATO;1,990.00;TIME OUT CITYMALL TEG;12/7/2019;MEGA NRGY
